jp)/ 20230324150346 {"url": "http://www1.jp/", "mime": "text/html", "mime-detected": "text/html", "status": "200", "digest": "BM72VWUXZWISENAYA4U746PCBGJTP434", "length": "1205", "offset": "108147947", "filename": "crawl-data/CC-MAIN-2023-14/segments/1679296945287.43/warc/CC-MAIN-20230324144746-20230324174746-00262.warc.gz", "charset": "UTF-8", "languages": "eng"}
jp,0-0-0-0)/ 20230326145214 {"url": "https://www.0-0-0-0.jp/", "mime": "text/html", "mime-detected": "text/html", "status": "200", "digest": "DAEJYBVKM3W64TN3UG2XCXRXXOWS2IFE", "length": "6211", "offset": "689020911", "filename": "crawl-data/CC-MAIN-2023-14/segments/1679296945473.69/warc/CC-MAIN-20230326142035-20230326172035-00749.warc.gz", "charset": "UTF-8", "languages": "jpn"}
jp,0-0-0-0)/column/apa-ryogoku-skytree.html 20230326150959 {"url": "https://www.0-0-0-0.jp/column/apa-ryogoku-skytree.html", "mime": "text/html", "mime-detected": "text/html", "status": "200", "digest": "KUDBVEJPT5SJHGWG7APVKUVKUHWAIAKB", "length": "6482", "offset": "719060880", "filename": "crawl-data/CC-MAIN-2023-14/segments/1679296945473.69/warc/CC-MAIN-20230326142035-20230326172035-00596.warc.gz", "charset": "UTF-8", "languages": "jpn,eng"}
jp,0-0-0-0)/column/column-apa-makuhari.html 20230326160933 {"url": "https://www.0-0-0-0.jp/column/column-apa-makuhari.html", "mime": "text/html", "mime-detected": "text/html", "status": "200", "digest": "CXNLNN6NHMBM5DOLQZNIHN6GIQCNOQFO", "length": "6684", "offset": "676636290", "filename": "crawl-data/CC-MAIN-2023-14/segments/1679296945473.69/warc/CC-MAIN-20230326142035-20230326172035-00229.warc.gz", "charset": "UTF-8", "languages": "jpn"}
jp,0-0-0-0)/glass-bath-fukuoka.html 20230326142519 {"url": "https://www.0-0-0-0.jp/glass-bath-fukuoka.html", "mime": "warc/revisit", "status": "304", "length": "544", "offset": "18714882", "filename": "crawl-data/CC-MAIN-2023-14/segments/1679296945473.69/crawldiagnostics/CC-MAIN-20230326142035-20230326172035-00329.warc.gz"}
jp,0-0-0-0)/glass-bath-osaka.html 20230326160121 {"url": "https://www.0-0-0-0.jp/glass-bath-osaka.html", "mime": "warc/revisit", "status": "304", "length": "537", "offset": "16507361", "filename": "crawl-data/CC-MAIN-2023-14/segments/1679296945473.69/crawldiagnostics/CC-MAIN-20230326142035-20230326172035-00258.warc.gz"}
jp,0-0-0-0)/inquiry/postmail.html 20230326144715 {"url": "https://www.0-0-0-0.jp/inquiry/postmail.html", "mime": "text/html", "mime-detected": "application/xhtml+xml", "status": "200", "digest": "KCYIOWUR2XTXZDIUTGDSVWIOGVJUMC5K", "length": "1772", "offset": "698141435", "filename": "crawl-data/CC-MAIN-2023-14/segments/1679296945473.69/warc/CC-MAIN-20230326142035-20230326172035-00237.warc.gz", "charset": "Shift_JIS", "languages": "jpn"}
jp,0-0-0-0)/robots.txt 20230326142519 {"url": "https://www.0-0-0-0.jp/robots.txt", "mime": "text/html", "mime-detected": "text/html", "status": "404", "digest": "2ZF25EIJD3NGU5JS5PWANKTQRE5XTYPY", "length": "626", "offset": "1199156", "filename": "crawl-data/CC-MAIN-2023-14/segments/1679296945473.69/robotstxt/CC-MAIN-20230326142035-20230326172035-00152.warc.gz"}
jp,0-0-0-0)/separate-bath-chiba.html 20230326163155 {"url": "https://www.0-0-0-0.jp/separate-bath-chiba.html", "mime": "warc/revisit", "status": "304", "length": "541", "offset": "16905670", "filename": "crawl-data/CC-MAIN-2023-14/segments/1679296945473.69/crawldiagnostics/CC-MAIN-20230326142035-20230326172035-00435.warc.gz"}
jp,0-0-0-0)/separate-bath-sapporo.html 20230326144544 {"url": "https://www.0-0-0-0.jp/separate-bath-sapporo.html", "mime": "warc/revisit", "status": "304", "length": "542", "offset": "17951808", "filename": "crawl-data/CC-MAIN-2023-14/segments/1679296945473.69/crawldiagnostics/CC-MAIN-20230326142035-20230326172035-00728.warc.gz"}
jp,0-00)/dobutsubiyori 20230331150048 {"url": "https://0-00.jp/dobutsubiyori/", "mime": "text/html", "mime-detected": "text/html", "status": "200", "digest": "QMFTEWFDDUPWVNV26S7VPXKTLYZOPIJQ", "length": "10949", "offset": "102804627", "filename": "crawl-data/CC-MAIN-2023-14/segments/1679296949644.27/warc/CC-MAIN-20230331144941-20230331174941-00203.warc.gz", "charset": "UTF-8", "languages": "jpn,eng"}
jp,0-00)/icon/ame 20230331153627 {"url": "https://0-00.jp/icon/ame/", "mime": "text/html", "mime-detected": "text/html", "status": "200", "digest": "JXA4LLCBPKFPQT6BHYVLRNAWA5LTCF62", "length": "10534", "offset": "99943758", "filename": "crawl-data/CC-MAIN-2023-14/segments/1679296949644.27/warc/CC-MAIN-20230331144941-20230331174941-00196.warc.gz", "charset": "UTF-8", "languages": "jpn,eng"}
jp,0-00)/icon/chinanago 20230331152321 {"url": "https://0-00.jp/icon/chinanago/", "mime": "text/html", "mime-detected": "text/html", "status": "200", "digest": "7GVEQPCCQXQAEFORIFKAWZT264NIOKVU", "length": "10607", "offset": "113314780", "filename": "crawl-data/CC-MAIN-2023-14/segments/1679296949644.27/warc/CC-MAIN-20230331144941-20230331174941-00683.warc.gz", "charset": "UTF-8", "languages": "jpn,eng"}
jp,0-00)/icon/croissant 20230331165212 {"url": "https://0-00.jp/icon/croissant/", "mime": "text/html", "mime-detected": "text/html", "status": "200", "digest": "QBNVGFV6ICIB7DSZQOBBIVS2RMW3H6GD", "length": "10621", "offset": "94208141", "filename": "crawl-data/CC-MAIN-2023-14/segments/1679296949644.27/warc/CC-MAIN-20230331144941-20230331174941-00703.warc.gz", "charset": "UTF-8", "languages": "jpn,eng"}
jp,0-00)/icon/donut 20230331164116 {"url": "https://0-00.jp/icon/donut/", "mime": "text/html", "mime-detected": "text/html", "status": "200", "digest": "J2MRMZFNIFFJBZLOETRIMOAL3Z3RATBU", "length": "10202", "offset": "95951184", "filename": "crawl-data/CC-MAIN-2023-14/segments/1679296949644.27/warc/CC-MAIN-20230331144941-20230331174941-00251.warc.gz", "charset": "UTF-8", "languages": "jpn,eng"}
